epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,3922.3,1.03733,0.99073,1.3649,0.78981,0.91636,0.90443,0.63019,1.12334,0.75466,1.40751,0.000700374,0.000700374,0.000700374
114,3956.89,1.03075,0.95857,1.36439,0.83958,0.90106,0.90516,0.66641,0.99087,0.68267,1.32661,0.000696708,0.000696708,0.000696708
115,3990.47,1.0613,0.99697,1.37616,0.84453,0.90906,0.92827,0.68134,0.97431,0.6736,1.30101,0.000693042,0.000693042,0.000693042
116,4023.39,1.03141,0.99359,1.35982,0.87819,0.91134,0.93953,0.69791,0.95354,0.6266,1.28441,0.000689376,0.000689376,0.000689376
117,4060.34,1.02443,0.95449,1.35774,0.82866,0.91855,0.93086,0.69317,0.97901,0.65478,1.30067,0.000685709,0.000685709,0.000685709
118,4093.71,1.00126,0.92973,1.33518,0.864,0.93592,0.94586,0.68651,1.03289,0.62784,1.32763,0.000682043,0.000682043,0.000682043
119,4127.32,1.01157,0.95335,1.32894,0.84169,0.92813,0.94711,0.69459,0.98902,0.64961,1.27745,0.000678377,0.000678377,0.000678377
120,4160.6,0.99391,0.94546,1.34071,0.81735,0.89524,0.90951,0.652,1.04281,0.68569,1.34016,0.00067471,0.00067471,0.00067471
121,4194.71,0.96567,0.9197,1.3143,0.84058,0.88695,0.92926,0.6651,1.06341,0.69539,1.3593,0.000671044,0.000671044,0.000671044
122,4228.66,0.96524,0.91443,1.31082,0.85195,0.89252,0.92867,0.6645,1.04078,0.6962,1.34848,0.000667378,0.000667378,0.000667378
123,4261.93,0.96046,0.90526,1.31831,0.89704,0.94432,0.96094,0.72339,0.95601,0.59725,1.27594,0.000663711,0.000663711,0.000663711
124,4298.94,0.9813,0.94269,1.33729,0.85448,0.91027,0.94864,0.7017,0.97706,0.64566,1.29555,0.000660045,0.000660045,0.000660045
125,4332.47,0.97178,0.92144,1.3006,0.85712,0.91697,0.94029,0.68795,1.01395,0.63707,1.31626,0.000656379,0.000656379,0.000656379
126,4365.54,0.98416,0.96349,1.32328,0.88927,0.91678,0.95574,0.68261,1.02182,0.62709,1.33964,0.000652712,0.000652712,0.000652712
127,4398.89,0.9979,0.94819,1.33534,0.8466,0.94967,0.95357,0.68066,1.03198,0.62802,1.35727,0.000649046,0.000649046,0.000649046
128,4432.5,0.96449,0.9599,1.30606,0.87052,0.95356,0.96016,0.7206,0.94413,0.5944,1.27633,0.00064538,0.00064538,0.00064538
129,4466.28,0.91732,0.87058,1.28176,0.88359,0.91286,0.95715,0.69746,1.00357,0.62093,1.30966,0.000641714,0.000641714,0.000641714
130,4500.05,0.98207,0.96842,1.32391,0.88432,0.90338,0.94624,0.71453,0.93772,0.62366,1.26171,0.000638047,0.000638047,0.000638047
131,4533.24,0.93432,0.92101,1.28928,0.91596,0.94836,0.96838,0.71495,0.99325,0.57302,1.30611,0.000634381,0.000634381,0.000634381
132,4566.55,0.96772,0.94311,1.30671,0.85988,0.96308,0.96066,0.71485,0.97236,0.60204,1.28096,0.000630715,0.000630715,0.000630715
133,4600.04,0.96431,0.93747,1.30952,0.91234,0.952,0.97026,0.71839,0.9767,0.56223,1.29112,0.000627048,0.000627048,0.000627048
134,4633.4,0.96977,0.92406,1.32064,0.8515,0.92822,0.94873,0.69185,1.00812,0.63411,1.32115,0.000623382,0.000623382,0.000623382
135,4666.7,0.92692,0.86911,1.28042,0.90315,0.94663,0.9659,0.72859,0.93079,0.56155,1.25347,0.000619716,0.000619716,0.000619716
