epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2294.82,1.12653,1.09935,1.56178,0.77056,0.82817,0.87586,0.61601,1.06656,0.8127,1.5675,0.000396071,0.000396071,0.000396071
67,2331.77,1.11198,1.07903,1.5418,0.76686,0.83835,0.88792,0.60366,1.17566,0.84191,1.63176,0.000385073,0.000385073,0.000385073
68,2365.61,1.08885,1.12398,1.5417,0.75706,0.91024,0.89054,0.62488,1.09724,0.78101,1.58536,0.000374074,0.000374074,0.000374074
69,2402.55,1.09811,1.12064,1.53799,0.70686,0.91597,0.85979,0.60598,1.06975,0.81688,1.55768,0.000363075,0.000363075,0.000363075
70,2436.76,1.07655,1.11375,1.52986,0.75975,0.82658,0.86285,0.63667,1.00089,0.78279,1.50885,0.000352076,0.000352076,0.000352076
71,2474.29,1.07678,1.12214,1.52927,0.72801,0.86301,0.85687,0.61219,1.08443,0.80987,1.58152,0.000341077,0.000341077,0.000341077
72,2507.93,1.0933,1.13619,1.5327,0.81178,0.84624,0.88832,0.6178,1.13159,0.79554,1.5909,0.000330078,0.000330078,0.000330078
73,2541.56,1.08429,1.11889,1.53254,0.84436,0.83063,0.90731,0.63673,1.06792,0.76738,1.5452,0.000319079,0.000319079,0.000319079
74,2578.91,1.08594,1.08229,1.52857,0.76976,0.87341,0.87376,0.63436,1.0246,0.77754,1.50185,0.00030808,0.00030808,0.00030808
75,2613.27,1.05093,1.14332,1.50631,0.71338,0.87249,0.88526,0.64894,1.04514,0.789,1.52145,0.000297081,0.000297081,0.000297081
76,2651.05,1.04587,1.08999,1.49999,0.85933,0.84676,0.91367,0.68249,0.99907,0.72357,1.48551,0.000286083,0.000286083,0.000286083
77,2688.37,0.99174,0.97593,1.45473,0.85044,0.82211,0.9028,0.66408,1.01347,0.75413,1.50812,0.000275084,0.000275084,0.000275084
78,2722.2,0.9874,0.94037,1.42794,0.84334,0.87459,0.9183,0.68431,0.98151,0.71393,1.50217,0.000264085,0.000264085,0.000264085
79,2759.12,1.02009,0.98728,1.48782,0.84751,0.90711,0.93483,0.67826,1.03966,0.70536,1.5614,0.000253086,0.000253086,0.000253086
80,2793,1.00263,0.97269,1.46963,0.86839,0.8862,0.93553,0.67328,1.05471,0.69773,1.56409,0.000242087,0.000242087,0.000242087
81,2827.32,1.05334,1.04682,1.48616,0.87405,0.87501,0.93237,0.69804,0.9728,0.67503,1.48707,0.000231088,0.000231088,0.000231088
82,2864.79,0.98435,0.96001,1.44851,0.87383,0.85959,0.93155,0.68406,1.00863,0.70284,1.51125,0.000220089,0.000220089,0.000220089
83,2898.57,0.98635,0.94418,1.42493,0.84677,0.86882,0.92313,0.66938,1.04451,0.7085,1.53374,0.00020909,0.00020909,0.00020909
84,2932.05,0.9642,0.97649,1.43456,0.86678,0.87619,0.91859,0.68361,0.96855,0.69606,1.46911,0.000198091,0.000198091,0.000198091
85,2965.82,0.94376,0.94628,1.43084,0.86264,0.87197,0.93354,0.68982,0.99616,0.69977,1.49135,0.000187092,0.000187092,0.000187092
86,2998.94,0.95501,0.94657,1.43295,0.86619,0.90533,0.94561,0.7021,0.9833,0.65804,1.488,0.000176094,0.000176094,0.000176094
87,3036.51,0.97294,0.93505,1.43464,0.87454,0.90448,0.95046,0.70868,0.97371,0.64131,1.47483,0.000165095,0.000165095,0.000165095
88,3073.49,0.92787,0.95632,1.39773,0.87119,0.901,0.94258,0.70714,0.95932,0.64278,1.46701,0.000154096,0.000154096,0.000154096
89,3107.34,0.94651,0.90463,1.41917,0.86237,0.8977,0.9438,0.7245,0.91419,0.6403,1.42781,0.000143097,0.000143097,0.000143097
90,3144.63,0.91131,0.89316,1.39825,0.88736,0.90894,0.9565,0.73366,0.90837,0.6179,1.42379,0.000132098,0.000132098,0.000132098
91,3184.02,0.86067,0.68428,1.41627,0.89645,0.9037,0.94971,0.68092,1.06459,0.65136,1.54601,0.000121099,0.000121099,0.000121099
92,3218.46,0.80206,0.63907,1.31968,0.88234,0.94171,0.96209,0.74978,0.8797,0.59686,1.40282,0.0001101,0.0001101,0.0001101
93,3255.95,0.78064,0.60337,1.31652,0.88718,0.95169,0.95854,0.70748,1.00775,0.63614,1.50395,9.91012e-05,9.91012e-05,9.91012e-05
94,3289.61,0.77517,0.59643,1.30861,0.89353,0.93974,0.96336,0.74885,0.87332,0.59544,1.39221,8.81023e-05,8.81023e-05,8.81023e-05
95,3323.39,0.75531,0.58777,1.303,0.89024,0.94238,0.96427,0.73091,0.93132,0.60402,1.43688,7.71034e-05,7.71034e-05,7.71034e-05
96,3357.07,0.73741,0.58215,1.25397,0.92041,0.92526,0.96909,0.75579,0.86862,0.57921,1.39392,6.61045e-05,6.61045e-05,6.61045e-05
97,3394.24,0.73879,0.55551,1.28197,0.91532,0.92138,0.96308,0.73686,0.91037,0.5923,1.42422,5.51056e-05,5.51056e-05,5.51056e-05
98,3428.5,0.71662,0.54613,1.24204,0.87359,0.927,0.95561,0.74315,0.86959,0.58923,1.39129,4.41067e-05,4.41067e-05,4.41067e-05
99,3462.36,0.72023,0.54832,1.26231,0.89949,0.9338,0.96548,0.75439,0.86329,0.57422,1.38729,3.31078e-05,3.31078e-05,3.31078e-05
100,3496.15,0.70855,0.56806,1.26432,0.89803,0.94518,0.96797,0.75453,0.87099,0.57085,1.39295,2.21089e-05,2.21089e-05,2.21089e-05
